areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate
nation,England,E92000001,2021-04-27,23,132582
nation,England,E92000001,2021-04-26,19,132559
nation,England,E92000001,2021-04-25,22,132540
nation,England,E92000001,2021-04-24,19,132518
nation,England,E92000001,2021-04-23,23,132499
nation,England,E92000001,2021-04-22,28,132476
nation,England,E92000001,2021-04-21,26,132448
nation,England,E92000001,2021-04-20,30,132422
nation,England,E92000001,2021-04-19,17,132392
nation,England,E92000001,2021-04-18,27,132375
nation,England,E92000001,2021-04-17,36,132348
nation,England,E92000001,2021-04-16,28,132312
nation,England,E92000001,2021-04-15,37,132284
nation,England,E92000001,2021-04-14,26,132247
nation,England,E92000001,2021-04-13,37,132221
nation,England,E92000001,2021-04-12,36,132184
nation,England,E92000001,2021-04-11,34,132148
nation,England,E92000001,2021-04-10,36,132114
nation,England,E92000001,2021-04-09,32,132078
nation,England,E92000001,2021-04-08,52,132046
nation,England,E92000001,2021-04-07,38,131994
nation,England,E92000001,2021-04-06,37,131956
nation,England,E92000001,2021-04-05,35,131919
nation,England,E92000001,2021-04-04,51,131884
nation,England,E92000001,2021-04-03,34,131833
nation,England,E92000001,2021-04-02,38,131799
nation,England,E92000001,2021-04-01,54,131761
nation,England,E92000001,2021-03-31,64,131707
nation,England,E92000001,2021-03-30,50,131643
nation,England,E92000001,2021-03-29,58,131593
nation,England,E92000001,2021-03-28,43,131535
nation,England,E92000001,2021-03-27,55,131492
nation,England,E92000001,2021-03-26,61,131437
nation,England,E92000001,2021-03-25,68,131376
nation,England,E92000001,2021-03-24,58,131308
nation,England,E92000001,2021-03-23,83,131250
nation,England,E92000001,2021-03-22,89,131167
nation,England,E92000001,2021-03-21,109,131078
nation,England,E92000001,2021-03-20,89,130969
nation,England,E92000001,2021-03-19,82,130880
nation,England,E92000001,2021-03-18,85,130798
nation,England,E92000001,2021-03-17,104,130713
nation,England,E92000001,2021-03-16,94,130609
nation,England,E92000001,2021-03-15,122,130515
nation,England,E92000001,2021-03-14,115,130393
nation,England,E92000001,2021-03-13,123,130278
nation,England,E92000001,2021-03-12,117,130155
nation,England,E92000001,2021-03-11,152,130038
nation,England,E92000001,2021-03-10,136,129886
nation,England,E92000001,2021-03-09,160,129750
nation,England,E92000001,2021-03-08,165,129590
nation,England,E92000001,2021-03-07,175,129425
nation,England,E92000001,2021-03-06,178,129250
nation,England,E92000001,2021-03-05,203,129072
nation,England,E92000001,2021-03-04,204,128869
nation,England,E92000001,2021-03-03,188,128665
nation,England,E92000001,2021-03-02,210,128477
nation,England,E92000001,2021-03-01,254,128267
