,date,totalAdmissions,totalBeds,newHospAdmission,mecVent,dailyCases,cumulativeCases,Vax_index,totalAdmissions_ewma_3,totalAdmissions_ewma_7,totalAdmissions_ewma_14,totalBeds_ewma_3,totalBeds_ewma_7,totalBeds_ewma_14,newHospAdmission_ewma_3,newHospAdmission_ewma_7,newHospAdmission_ewma_14,dailyCases_ewma_3,dailyCases_ewma_7,dailyCases_ewma_14,cumulativeCases_ewma_3,cumulativeCases_ewma_7,cumulativeCases_ewma_14
60,2020-09-30,328,2036,302,282,10663,424331,0.32999999999999996,311.48221712234067,290.8159803084655,261.16014338197874,1964.7965742473934,1804.3035714828832,1553.6520903786366,286.35299435271384,266.2179125843354,238.1966289443472,9365.817729130185,7917.185458667658,6527.2888105164775,414965.18227086985,400579.44744227827,381929.4559669513
61,2020-10-01,368,2069,333,285,11444,435775,0.32999999999999996,339.74110856117034,310.1119855775002,275.4074554469814,2016.8982871236967,1870.47767979926,1622.374781730357,309.6764971763569,282.9134347377526,250.83885119173547,10404.908864565092,8798.889109817628,7182.942242367361,425370.0911354349,409378.335739552,389109.86872144847
62,2020-10-02,371,2180,332,311,11719,447494,0.32999999999999996,355.37055428058517,325.33398938792584,288.15467721812274,2098.4491435618484,1947.8582608905429,1696.7338476564846,320.83824858817843,295.18507621842025,261.66165298969094,11061.954432282546,9528.916842185197,7787.823454324004,436432.04556771746,418907.25193286844,396895.3657265036
63,2020-10-03,386,2290,353,307,9820,457314,0.32999999999999996,370.68527714029256,340.5004921939849,301.20209448284135,2194.224571780924,2033.3936965310186,1775.8443336621954,336.9191242940892,309.6388073096633,273.8413820950856,10440.977216141273,9601.687632373207,8058.808868783898,446873.0227838587,428508.93904653896,404952.0322029184
64,2020-10-04,478,2435,451,310,9966,467280,0.32999999999999996,424.3426385701463,374.8753694056383,324.77730054828675,2314.612285890462,2133.7952731581045,1863.7397791295145,393.9595621470446,344.9791057497035,297.4646875361815,10203.488608070636,9692.765724969186,8313.124234076762,457076.51139192935,438201.7043582592,413263.1865695861
65,2020-10-05,472,2705,432,331,14218,481498,0.32999999999999996,448.17131928507314,399.1565271920489,344.40854686062073,2509.806142945231,2276.59645567912,1975.9166830321199,412.9797810735223,366.73432943576057,315.40414841089716,12210.744304035317,10824.074300148211,9100.503293394926,469287.2556959647,449025.778330132,422361.8815026182
66,2020-10-06,524,2903,494,349,14458,495956,0.32999999999999996,486.0856596425366,430.3673955269016,368.35571583726534,2706.4030714726155,2433.1973424259913,2099.5362676992586,453.48989053676115,398.5507472122632,339.2185614120145,13334.372152017659,11732.555728978572,9814.885167822538,482621.62784798234,460758.3337975446,432175.1034602146
67,2020-10-07,491,3066,447,376,15418,511374,0.32999999999999996,488.5428298212683,445.5255466935725,384.7092588081762,2886.201535736308,2591.39800732459,2228.40575626862,450.24494526838055,410.66306044786904,353.59027387662826,14376.18607600883,12653.916799675611,10562.01154068618,496997.81392399117,473412.25038855936,442735.583849937
68,2020-10-08,513,3179,467,368,15452,526826,0.32999999999999996,500.7714149106341,462.3941600605724,401.81557191625717,3032.600767868154,2738.298505845206,2355.158182990469,458.6224726341903,424.74729536962747,368.7123494570268,14914.093038004416,13353.437601431759,11214.043580588806,511911.9069619956,486765.6878233952,453948.2167701955
69,2020-10-09,544,3238,494,367,13159,539985,0.32999999999999996,522.3857074553171,482.7956200820688,420.77434182892404,3135.300383934077,2863.223879608261,2472.875679227866,476.3112363170951,442.0604715583138,385.41811514146485,14036.546519002208,13304.82820098652,11473.382678004336,525948.4534809978,500070.51589144085,465420.29988972784
70,2020-10-10,515,3369,487,396,10301,550286,0.32999999999999996,518.6928537276585,490.84671507239597,433.3382489039285,3252.1501919670386,2989.667909876509,2592.3635439174504,481.65561815854755,453.2953536838681,398.96289038250643,12168.773259501104,12553.871149728393,11317.058940832365,538117.2267404989,512624.38693549,476736.1642809829
71,2020-10-11,628,3604,589,401,9781,560067,0.32999999999999996,573.3464268638293,525.1350363389353,459.2940191810601,3428.0750959835195,3143.2509325625324,2727.2529267068367,535.3278090792737,487.22151529717354,424.30202112384745,10974.886629750552,11860.653361596,11112.244215926792,549092.1133702495,524485.0402135993,487847.31486267445
72,2020-10-12,664,3827,640,426,16420,576487,0.32999999999999996,618.6732134319146,559.8512772805044,486.58894297792875,3627.5375479917598,3314.188199551411,2873.8901301792466,587.6639045396369,525.4161365018185,453.06258724414346,13697.443314875276,13000.490022060603,11819.96554912422,562789.5566851248,537485.5301700494,499666.28293347877
73,2020-10-13,764,4105,727,441,15660,592147,0.32999999999999996,691.3366067159573,610.8884579893798,523.5780152972762,3866.26877399588,3511.8911497759013,3038.0422461644407,657.3319522698184,575.812102405001,489.5884953322091,14678.721657437638,13665.367516923263,12331.983035150124,577468.2783425624,551150.8976353023,511997.35570483736
74,2020-10-14,706,4313,682,468,16646,608793,0.32999999999999996,698.6683033579786,634.6663435021686,547.9014773927697,4089.63438699794,3712.16836241728,3208.0403231468345,669.6659761349092,602.3590768150647,515.2439224900191,15662.360828718818,14410.52563801002,12907.197849827418,593130.6391712811,565561.4232326183,524903.7232616809
75,2020-10-15,792,4569,765,482,15428,624221,0.32999999999999996,745.3341516789893,673.9997576391988,580.4485626348641,4329.31719349897,3926.3762718814287,3389.505045425662,717.3329880674546,643.019307624295,548.5453626528844,15545.180414359409,14664.89422858882,13243.31116007525,608675.8195856406,580226.3174291512,538146.2772824442
76,2020-10-16,632,4854,600,482,14761,638982,0.32999999999999996,688.6670758394946,663.499818226882,587.3222002841634,4591.658596749485,4158.282203966666,3584.774240068506,658.6664940337273,632.264480715643,555.4060934215548,15153.090207179705,14688.920671447375,13445.67298902172,623828.9097928202,594915.2380753846,551591.2606910823
77,2020-10-17,785,5029,754,495,12487,651469,0.32999999999999996,736.8335379197473,693.8748636756227,613.6796146723436,4810.329298374742,4375.9616530141375,3777.3404102672807,706.3332470168637,662.6983605422041,581.8856571266354,13820.045103589851,14138.440503486558,13317.848107974256,637648.9548964101,609053.6785590806,564908.4817796622
78,2020-10-18,870,5202,841,504,11982,663451,0.32999999999999996,803.4167689598737,737.9061477626545,647.8560868172617,5006.164649187371,4582.47123978845,3967.297360910321,773.6666235084318,707.2737704126639,616.4346615307919,12901.022551794926,13599.330377542221,13139.732834022623,650549.977448205,622653.0089211443,578047.6459734985
79,2020-10-19,861,5644,825,529,22369,685820,0.32999999999999996,832.2083844799369,768.6796108251032,676.2755784797259,5325.082324593685,4847.853429868176,4190.860098220053,799.3333117542159,736.7053278124745,644.2436700508847,17635.011275897465,15791.747783378396,14370.31491988906,668184.9887241025,638444.7566924554,592417.446503877
80,2020-10-20,925,6072,881,560,21638,707458,0.32999999999999996,878.6041922399684,807.7597081217916,709.4391413590968,5698.541162296842,5153.890072424345,4441.681071232097,840.1666558771079,772.7789958620921,675.8114726308036,19636.505637948732,17253.310837644658,15339.34855827699,687821.4943620512,655698.0675206502,607756.3288147775
81,2020-10-21,997,6271,950,572,21762,729220,0.32999999999999996,937.8020961199842,855.0697810940351,747.7808964644934,5984.770581148421,5433.167554334146,4685.592216538812,895.083327938554,817.0842468990894,712.3702359436757,20699.252818974368,18380.483128297616,16195.70894706475,708520.7471810256,674078.5506415333,623951.6147684959
82,2020-10-22,987,6345,956,564,19866,749086,0.32999999999999996,962.401048059992,888.0523358219335,779.6769984805875,6164.885290574211,5661.125665760336,4906.848124471444,925.541663969277,851.8131851757988,744.8544301139963,20282.626409487184,18751.86234623906,16685.08448657221,728803.3735905128,692830.41298195,640636.3153550142
83,2020-10-23,997,6842,952,602,18359,767445,0.32999999999999996,979.700524029996,915.2892518673217,808.6535731138578,6503.442645287105,5956.344249329699,5164.8699277592905,938.7708319846386,876.8598888826506,772.4740056940662,19320.813204743594,18653.646759676154,16908.27456523628,748124.1867952563,711484.0597370594,657544.241755221
84,2020-10-24,990,7176,951,632,13713,781158,0.32999999999999996,984.850262014998,933.9669389009396,832.8332228459686,6839.721322643552,6261.258187004592,5433.022003030265,944.8854159923193,895.3949166624328,796.2775957868809,16516.906602371797,17418.48506972747,16482.23573385724,764641.0933976282,728902.5448032125,674026.1621754408
