,date,covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions,areaName,dailyCases,cumulativeCases,population
260,2020-12-18,1190.0,212526,15866.0,1672,England,32426,1802470,"56,536,419"
261,2020-12-19,1239.0,214338,16183.0,1812,England,22195,1824665,"56,536,419"
262,2020-12-20,1267.0,216314,16633.0,1976,England,29556,1854221,"56,536,419"
263,2020-12-21,1327.0,218429,17709.0,2115,England,43446,1897667,"56,536,419"
264,2020-12-22,1339.0,220632,18063.0,2203,England,41741,1939408,"56,536,419"
265,2020-12-23,1374.0,222612,17834.0,1980,England,38383,1977791,"56,536,419"
266,2020-12-24,1427.0,224407,18227.0,1795,England,29287,2007078,"56,536,419"
267,2020-12-25,1437.0,226359,17701.0,1952,England,12926,2020004,"56,536,419"
268,2020-12-26,1498.0,228657,18350.0,2298,England,37462,2057466,"56,536,419"
269,2020-12-27,1556.0,231229,19277.0,2572,England,43250,2100716,"56,536,419"
270,2020-12-28,1641.0,234024,20426.0,2795,England,40845,2141561,"56,536,419"
271,2020-12-29,1728.0,236910,21787.0,2886,England,74058,2215619,"56,536,419"
272,2020-12-30,1854.0,239771,22713.0,2861,England,64243,2279862,"56,536,419"
273,2020-12-31,1899.0,242307,22728.0,2536,England,47824,2327686,"56,536,419"
274,2021-01-01,1940.0,245317,22534.0,3010,England,28879,2356565,"56,536,419"
275,2021-01-02,2017.0,248462,23557.0,3145,England,55428,2411993,"56,536,419"
276,2021-01-03,2181.0,251813,24957.0,3351,England,50664,2462657,"56,536,419"
277,2021-01-04,2310.0,255400,26626.0,3587,England,70920,2533577,"56,536,419"
278,2021-01-05,2378.0,259097,26467.0,3697,England,59600,2593177,"56,536,419"
279,2021-01-06,2550.0,263064,27727.0,3967,England,52752,2645929,"56,536,419"
280,2021-01-07,2654.0,266913,28246.0,3849,England,48132,2694061,"56,536,419"
281,2021-01-08,2814.0,270462,29346.0,3549,England,43494,2737555,"56,536,419"
282,2021-01-09,2860.0,274180,29462.0,3718,England,36419,2773974,"56,536,419"
283,2021-01-10,2963.0,277751,30758.0,3571,England,33749,2807723,"56,536,419"
284,2021-01-11,3055.0,281645,32070.0,3894,England,53519,2861242,"56,536,419"
285,2021-01-12,3175.0,285779,32202.0,4134,England,45968,2907210,"56,536,419"
286,2021-01-13,3307.0,289619,32689.0,3840,England,42303,2949513,"56,536,419"
287,2021-01-14,3351.0,293297,32925.0,3678,England,39658,2989171,"56,536,419"
288,2021-01-15,3464.0,296592,33362.0,3295,England,37879,3027050,"56,536,419"
289,2021-01-16,3525.0,300161,32923.0,3569,England,28413,3055463,"56,536,419"
290,2021-01-17,3533.0,303585,33352.0,3424,England,26976,3082439,"56,536,419"
291,2021-01-18,3570.0,307296,34336.0,3711,England,41935,3124374,"56,536,419"
292,2021-01-19,3603.0,311064,34015.0,3768,England,37055,3161429,"56,536,419"
293,2021-01-20,3603.0,314743,33886.0,3679,England,32679,3194108,"56,536,419"
294,2021-01-21,3607.0,317980,33235.0,3237,England,29633,3223741,"56,536,419"
295,2021-01-22,3727.0,320996,33412.0,3016,England,27741,3251482,"56,536,419"
296,2021-01-23,3731.0,323776,32614.0,2780,England,20425,3271907,"56,536,419"
297,2021-01-24,3736.0,326600,32907.0,2824,England,15883,3287790,"56,536,419"
298,2021-01-25,3694.0,329248,32938.0,2648,England,27972,3315762,"56,536,419"
299,2021-01-26,3634.0,332047,32337.0,2799,England,25210,3340972,"56,536,419"
300,2021-01-27,3602.0,334789,30846.0,2742,England,23899,3364871,"56,536,419"
301,2021-01-28,3585.0,337508,30333.0,2719,England,22523,3387394,"56,536,419"
302,2021-01-29,3506.0,339887,29359.0,2379,England,20363,3407757,"56,536,419"
303,2021-01-30,3486.0,342080,28571.0,2193,England,15524,3423281,"56,536,419"
304,2021-01-31,3366.0,344263,28112.0,2183,England,14138,3437419,"56,536,419"
305,2021-02-01,3414.0,346610,28539.0,2347,England,20765,3458184,"56,536,419"
306,2021-02-02,3324.0,348832,27397.0,2222,England,18193,3476377,"56,536,419"
307,2021-02-03,3328.0,350928,26374.0,2096,England,17948,3494325,"56,536,419"
308,2021-02-04,3275.0,352835,25334.0,1907,England,16717,3511042,"56,536,419"
309,2021-02-05,3217.0,354592,24402.0,1757,England,14461,3525503,"56,536,419"
310,2021-02-06,3099.0,356271,23042.0,1679,England,10951,3536454,"56,536,419"
311,2021-02-07,3047.0,357946,22991.0,1675,England,10457,3546911,"56,536,419"
312,2021-02-08,2980.0,359685,23020.0,1739,England,14370,3561281,"56,536,419"
313,2021-02-09,2911.0,361216,22067.0,1531,England,12696,3573977,"56,536,419"
314,2021-02-10,2872.0,362751,20926.0,1535,England,12272,3586249,"56,536,419"
315,2021-02-11,2780.0,364191,19983.0,1440,England,11637,3597886,"56,536,419"
316,2021-02-12,2688.0,365509,19009.0,1318,England,10986,3608872,"56,536,419"
317,2021-02-13,2592.0,366749,17694.0,1240,England,8025,3616897,"56,536,419"
318,2021-02-14,2611.0,368113,17787.0,1364,England,7781,3624678,"56,536,419"
319,2021-02-15,2577.0,369435,17730.0,1322,England,12953,3637631,"56,536,419"
320,2021-02-16,2484.0,370746,17093.0,1311,England,11268,3648899,"56,536,419"
321,2021-02-17,2393.0,371979,16458.0,1233,England,10419,3659318,"56,536,419"
